"athlete","trainingDate","season","rpetl"
"Taaha el-Qazi",2015-11-01,"Fall 2015",0
"Lawrence Tamayo",2015-11-01,"Fall 2015",0
"Bishr el-Hamdan",2015-11-01,"Fall 2015",0
"Arun Bruckner",2015-11-01,"Fall 2015",0
"Mori Tani",2015-11-01,"Fall 2015",0
"Saleem el-Sham",2015-11-01,"Fall 2015",0
"Kong Meng Hutchinson",2015-11-01,"Fall 2015",0
"Tayyib al-Wahab",2015-11-01,"Fall 2015",0
"Brandon Troxel",2015-11-01,"Fall 2015",0
"Aqeel al-Hossain",2015-11-01,"Fall 2015",0
"Darin Russell",2015-11-01,"Fall 2015",0
"Sahl al-Sader",2015-11-01,"Fall 2015",0
"Benjamin Babatunde",2015-11-02,"Fall 2015",150
"Joo Garand",2015-11-02,"Fall 2015",100
"Aiden Jaeger",2015-11-02,"Fall 2015",200
"Tony Cha",2015-11-02,"Fall 2015",30
"Kevin Querubin",2015-11-02,"Fall 2015",200
"Kordell Thompson",2015-11-02,"Fall 2015",150
"Joaquin Martinez",2015-11-02,"Fall 2015",30
"Rocky Mccarty",2015-11-02,"Fall 2015",30
"Keandre Johnson",2015-11-02,"Fall 2015",30
"Scott Lucero",2015-11-02,"Fall 2015",200
"Max Zuniga",2015-11-02,"Fall 2015",30
"Torben Mcclelland",2015-11-02,"Fall 2015",30
"Steve Galligan",2015-11-02,"Fall 2015",30
"Marzooq al-Fahs",2015-11-02,"Fall 2015",250
"Muhaajir al-Mirza",2015-11-02,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-11-02,"Fall 2015",150
"Taaha el-Qazi",2015-11-02,"Fall 2015",30
"Lawrence Tamayo",2015-11-02,"Fall 2015",100
"Bishr el-Hamdan",2015-11-02,"Fall 2015",200
"Arun Bruckner",2015-11-02,"Fall 2015",200
"Mori Tani",2015-11-02,"Fall 2015",150
"Saleem el-Sham",2015-11-02,"Fall 2015",100
"Kong Meng Hutchinson",2015-11-02,"Fall 2015",30
"Tayyib al-Wahab",2015-11-02,"Fall 2015",300
"Brandon Troxel",2015-11-02,"Fall 2015",0
"Aqeel al-Hossain",2015-11-02,"Fall 2015",250
"Darin Russell",2015-11-02,"Fall 2015",100
"Sahl al-Sader",2015-11-02,"Fall 2015",150
"Benjamin Babatunde",2015-11-03,"Fall 2015",360
"Joo Garand",2015-11-03,"Fall 2015",535
"Aiden Jaeger",2015-11-03,"Fall 2015",360
"Tony Cha",2015-11-03,"Fall 2015",440
"Kevin Querubin",2015-11-03,"Fall 2015",435
"Kordell Thompson",2015-11-03,"Fall 2015",0
"Joaquin Martinez",2015-11-03,"Fall 2015",240
"Rocky Mccarty",2015-11-03,"Fall 2015",555
"Keandre Johnson",2015-11-03,"Fall 2015",195
"Scott Lucero",2015-11-03,"Fall 2015",315
"Max Zuniga",2015-11-03,"Fall 2015",285
"Torben Mcclelland",2015-11-03,"Fall 2015",150
"Steve Galligan",2015-11-03,"Fall 2015",480
"Marzooq al-Fahs",2015-11-03,"Fall 2015",225
"Muhaajir al-Mirza",2015-11-03,"Fall 2015",365
"Andrew Ortiz-Gonzales",2015-11-03,"Fall 2015",330
"Taaha el-Qazi",2015-11-03,"Fall 2015",390
"Lawrence Tamayo",2015-11-03,"Fall 2015",490
"Bishr el-Hamdan",2015-11-03,"Fall 2015",735
"Arun Bruckner",2015-11-03,"Fall 2015",510
"Mori Tani",2015-11-03,"Fall 2015",345
"Saleem el-Sham",2015-11-03,"Fall 2015",225
"Kong Meng Hutchinson",2015-11-03,"Fall 2015",405
"Tayyib al-Wahab",2015-11-03,"Fall 2015",555
"Brandon Troxel",2015-11-03,"Fall 2015",300
"Aqeel al-Hossain",2015-11-03,"Fall 2015",375
"Darin Russell",2015-11-03,"Fall 2015",150
"Sahl al-Sader",2015-11-03,"Fall 2015",345
"Benjamin Babatunde",2015-11-04,"Fall 2015",285
"Joo Garand",2015-11-04,"Fall 2015",380
"Aiden Jaeger",2015-11-04,"Fall 2015",280
"Tony Cha",2015-11-04,"Fall 2015",210
"Kevin Querubin",2015-11-04,"Fall 2015",210
"Kordell Thompson",2015-11-04,"Fall 2015",0
"Joaquin Martinez",2015-11-04,"Fall 2015",140
"Rocky Mccarty",2015-11-04,"Fall 2015",280
"Keandre Johnson",2015-11-04,"Fall 2015",210
"Scott Lucero",2015-11-04,"Fall 2015",140
"Max Zuniga",2015-11-04,"Fall 2015",210
"Torben Mcclelland",2015-11-04,"Fall 2015",210
"Steve Galligan",2015-11-04,"Fall 2015",280
"Marzooq al-Fahs",2015-11-04,"Fall 2015",210
"Muhaajir al-Mirza",2015-11-04,"Fall 2015",210
"Andrew Ortiz-Gonzales",2015-11-04,"Fall 2015",210
"Taaha el-Qazi",2015-11-04,"Fall 2015",210
"Lawrence Tamayo",2015-11-04,"Fall 2015",285
"Bishr el-Hamdan",2015-11-04,"Fall 2015",280
"Arun Bruckner",2015-11-04,"Fall 2015",280
"Mori Tani",2015-11-04,"Fall 2015",280
"Saleem el-Sham",2015-11-04,"Fall 2015",140
"Kong Meng Hutchinson",2015-11-04,"Fall 2015",210
"Tayyib al-Wahab",2015-11-04,"Fall 2015",280
"Brandon Troxel",2015-11-04,"Fall 2015",210
"Aqeel al-Hossain",2015-11-04,"Fall 2015",140
"Darin Russell",2015-11-04,"Fall 2015",140
"Sahl al-Sader",2015-11-04,"Fall 2015",210
"Benjamin Babatunde",2015-11-05,"Fall 2015",260
"Joo Garand",2015-11-05,"Fall 2015",260
"Aiden Jaeger",2015-11-05,"Fall 2015",260
"Tony Cha",2015-11-05,"Fall 2015",260
"Kevin Querubin",2015-11-05,"Fall 2015",195
"Kordell Thompson",2015-11-05,"Fall 2015",260
"Joaquin Martinez",2015-11-05,"Fall 2015",195
"Rocky Mccarty",2015-11-05,"Fall 2015",195
"Keandre Johnson",2015-11-05,"Fall 2015",195
"Scott Lucero",2015-11-05,"Fall 2015",195
"Max Zuniga",2015-11-05,"Fall 2015",260
"Torben Mcclelland",2015-11-05,"Fall 2015",0
"Steve Galligan",2015-11-05,"Fall 2015",260
"Marzooq al-Fahs",2015-11-05,"Fall 2015",260
"Muhaajir al-Mirza",2015-11-05,"Fall 2015",325
"Andrew Ortiz-Gonzales",2015-11-05,"Fall 2015",260
"Taaha el-Qazi",2015-11-05,"Fall 2015",195
"Lawrence Tamayo",2015-11-05,"Fall 2015",195
"Bishr el-Hamdan",2015-11-05,"Fall 2015",500
"Arun Bruckner",2015-11-05,"Fall 2015",130
"Mori Tani",2015-11-05,"Fall 2015",130
"Saleem el-Sham",2015-11-05,"Fall 2015",65
"Kong Meng Hutchinson",2015-11-05,"Fall 2015",260
"Tayyib al-Wahab",2015-11-05,"Fall 2015",440
"Brandon Troxel",2015-11-05,"Fall 2015",130
"Aqeel al-Hossain",2015-11-05,"Fall 2015",260
"Darin Russell",2015-11-05,"Fall 2015",130
"Sahl al-Sader",2015-11-05,"Fall 2015",195
"Benjamin Babatunde",2015-11-06,"Fall 2015",165
"Joo Garand",2015-11-06,"Fall 2015",165
"Aiden Jaeger",2015-11-06,"Fall 2015",90
"Tony Cha",2015-11-06,"Fall 2015",45
"Kevin Querubin",2015-11-06,"Fall 2015",90
"Kordell Thompson",2015-11-06,"Fall 2015",135
"Joaquin Martinez",2015-11-06,"Fall 2015",90
"Rocky Mccarty",2015-11-06,"Fall 2015",90
"Keandre Johnson",2015-11-06,"Fall 2015",90
"Scott Lucero",2015-11-06,"Fall 2015",90
"Max Zuniga",2015-11-06,"Fall 2015",90
"Torben Mcclelland",2015-11-06,"Fall 2015",0
"Steve Galligan",2015-11-06,"Fall 2015",90
"Marzooq al-Fahs",2015-11-06,"Fall 2015",90
"Muhaajir al-Mirza",2015-11-06,"Fall 2015",90
"Andrew Ortiz-Gonzales",2015-11-06,"Fall 2015",45
"Taaha el-Qazi",2015-11-06,"Fall 2015",90
"Lawrence Tamayo",2015-11-06,"Fall 2015",90
"Bishr el-Hamdan",2015-11-06,"Fall 2015",90
"Arun Bruckner",2015-11-06,"Fall 2015",45
"Mori Tani",2015-11-06,"Fall 2015",90
"Saleem el-Sham",2015-11-06,"Fall 2015",135
"Kong Meng Hutchinson",2015-11-06,"Fall 2015",90
"Tayyib al-Wahab",2015-11-06,"Fall 2015",45
"Brandon Troxel",2015-11-06,"Fall 2015",45
"Aqeel al-Hossain",2015-11-06,"Fall 2015",45
"Darin Russell",2015-11-06,"Fall 2015",90
"Sahl al-Sader",2015-11-06,"Fall 2015",45
"Benjamin Babatunde",2015-11-07,"Fall 2015",0
"Joo Garand",2015-11-07,"Fall 2015",0
"Aiden Jaeger",2015-11-07,"Fall 2015",0
"Tony Cha",2015-11-07,"Fall 2015",675
"Kevin Querubin",2015-11-07,"Fall 2015",0
"Kordell Thompson",2015-11-07,"Fall 2015",0
"Joaquin Martinez",2015-11-07,"Fall 2015",945
"Rocky Mccarty",2015-11-07,"Fall 2015",675
"Keandre Johnson",2015-11-07,"Fall 2015",1215
"Scott Lucero",2015-11-07,"Fall 2015",0
"Max Zuniga",2015-11-07,"Fall 2015",675
"Torben Mcclelland",2015-11-07,"Fall 2015",810
"Steve Galligan",2015-11-07,"Fall 2015",675
"Marzooq al-Fahs",2015-11-07,"Fall 2015",0
"Muhaajir al-Mirza",2015-11-07,"Fall 2015",810
"Andrew Ortiz-Gonzales",2015-11-07,"Fall 2015",0
"Taaha el-Qazi",2015-11-07,"Fall 2015",945
"Lawrence Tamayo",2015-11-07,"Fall 2015",540
"Bishr el-Hamdan",2015-11-07,"Fall 2015",0
"Arun Bruckner",2015-11-07,"Fall 2015",0
"Mori Tani",2015-11-07,"Fall 2015",270
"Saleem el-Sham",2015-11-07,"Fall 2015",0
"Kong Meng Hutchinson",2015-11-07,"Fall 2015",810
"Tayyib al-Wahab",2015-11-07,"Fall 2015",0
"Brandon Troxel",2015-11-07,"Fall 2015",945
"Aqeel al-Hossain",2015-11-07,"Fall 2015",675
"Darin Russell",2015-11-07,"Fall 2015",1080
"Sahl al-Sader",2015-11-07,"Fall 2015",810
"Benjamin Babatunde",2015-11-08,"Fall 2015",0
"Joo Garand",2015-11-08,"Fall 2015",0
"Aiden Jaeger",2015-11-08,"Fall 2015",0
"Tony Cha",2015-11-08,"Fall 2015",0
"Kevin Querubin",2015-11-08,"Fall 2015",0
"Kordell Thompson",2015-11-08,"Fall 2015",0
"Joaquin Martinez",2015-11-08,"Fall 2015",0
"Rocky Mccarty",2015-11-08,"Fall 2015",0
"Keandre Johnson",2015-11-08,"Fall 2015",0
"Scott Lucero",2015-11-08,"Fall 2015",0
"Max Zuniga",2015-11-08,"Fall 2015",0
"Torben Mcclelland",2015-11-08,"Fall 2015",0
"Steve Galligan",2015-11-08,"Fall 2015",0
"Marzooq al-Fahs",2015-11-08,"Fall 2015",0
"Muhaajir al-Mirza",2015-11-08,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-11-08,"Fall 2015",0
"Taaha el-Qazi",2015-11-08,"Fall 2015",0
"Lawrence Tamayo",2015-11-08,"Fall 2015",0
"Bishr el-Hamdan",2015-11-08,"Fall 2015",0
"Arun Bruckner",2015-11-08,"Fall 2015",0
"Mori Tani",2015-11-08,"Fall 2015",0
"Saleem el-Sham",2015-11-08,"Fall 2015",0
"Kong Meng Hutchinson",2015-11-08,"Fall 2015",0
"Tayyib al-Wahab",2015-11-08,"Fall 2015",0
"Brandon Troxel",2015-11-08,"Fall 2015",0
"Aqeel al-Hossain",2015-11-08,"Fall 2015",0
"Darin Russell",2015-11-08,"Fall 2015",0
"Sahl al-Sader",2015-11-08,"Fall 2015",0
"Benjamin Babatunde",2015-11-09,"Fall 2015",0
"Joo Garand",2015-11-09,"Fall 2015",0
"Aiden Jaeger",2015-11-09,"Fall 2015",0
"Tony Cha",2015-11-09,"Fall 2015",0
"Kevin Querubin",2015-11-09,"Fall 2015",0
"Kordell Thompson",2015-11-09,"Fall 2015",0
"Joaquin Martinez",2015-11-09,"Fall 2015",0
"Rocky Mccarty",2015-11-09,"Fall 2015",0
"Keandre Johnson",2015-11-09,"Fall 2015",0
"Scott Lucero",2015-11-09,"Fall 2015",0
"Max Zuniga",2015-11-09,"Fall 2015",0
"Torben Mcclelland",2015-11-09,"Fall 2015",0
"Steve Galligan",2015-11-09,"Fall 2015",0
"Marzooq al-Fahs",2015-11-09,"Fall 2015",0
"Muhaajir al-Mirza",2015-11-09,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-11-09,"Fall 2015",0
"Taaha el-Qazi",2015-11-09,"Fall 2015",0
"Lawrence Tamayo",2015-11-09,"Fall 2015",0
"Bishr el-Hamdan",2015-11-09,"Fall 2015",0
"Arun Bruckner",2015-11-09,"Fall 2015",0
"Mori Tani",2015-11-09,"Fall 2015",0
"Saleem el-Sham",2015-11-09,"Fall 2015",0
"Kong Meng Hutchinson",2015-11-09,"Fall 2015",0
"Tayyib al-Wahab",2015-11-09,"Fall 2015",0
"Brandon Troxel",2015-11-09,"Fall 2015",0
"Aqeel al-Hossain",2015-11-09,"Fall 2015",0
"Darin Russell",2015-11-09,"Fall 2015",0
"Sahl al-Sader",2015-11-09,"Fall 2015",0
"Benjamin Babatunde",2015-11-10,"Fall 2015",240
"Joo Garand",2015-11-10,"Fall 2015",405
"Aiden Jaeger",2015-11-10,"Fall 2015",300
"Tony Cha",2015-11-10,"Fall 2015",630
"Kevin Querubin",2015-11-10,"Fall 2015",380
"Kordell Thompson",2015-11-10,"Fall 2015",330
"Joaquin Martinez",2015-11-10,"Fall 2015",375
"Rocky Mccarty",2015-11-10,"Fall 2015",240
"Keandre Johnson",2015-11-10,"Fall 2015",120
"Scott Lucero",2015-11-10,"Fall 2015",300
"Max Zuniga",2015-11-10,"Fall 2015",300
"Torben Mcclelland",2015-11-10,"Fall 2015",0
"Steve Galligan",2015-11-10,"Fall 2015",300
"Marzooq al-Fahs",2015-11-10,"Fall 2015",240
"Muhaajir al-Mirza",2015-11-10,"Fall 2015",285
"Andrew Ortiz-Gonzales",2015-11-10,"Fall 2015",160
"Taaha el-Qazi",2015-11-10,"Fall 2015",330
"Lawrence Tamayo",2015-11-10,"Fall 2015",390
"Bishr el-Hamdan",2015-11-10,"Fall 2015",320
"Arun Bruckner",2015-11-10,"Fall 2015",300
"Mori Tani",2015-11-10,"Fall 2015",100
"Saleem el-Sham",2015-11-10,"Fall 2015",240
"Kong Meng Hutchinson",2015-11-10,"Fall 2015",300
"Tayyib al-Wahab",2015-11-10,"Fall 2015",320
"Brandon Troxel",2015-11-10,"Fall 2015",320
"Aqeel al-Hossain",2015-11-10,"Fall 2015",250
"Darin Russell",2015-11-10,"Fall 2015",220
"Sahl al-Sader",2015-11-10,"Fall 2015",300
"Benjamin Babatunde",2015-11-11,"Fall 2015",225
"Joo Garand",2015-11-11,"Fall 2015",225
"Aiden Jaeger",2015-11-11,"Fall 2015",260
"Tony Cha",2015-11-11,"Fall 2015",195
"Kevin Querubin",2015-11-11,"Fall 2015",195
"Kordell Thompson",2015-11-11,"Fall 2015",130
"Joaquin Martinez",2015-11-11,"Fall 2015",130
"Rocky Mccarty",2015-11-11,"Fall 2015",195
"Keandre Johnson",2015-11-11,"Fall 2015",0
"Scott Lucero",2015-11-11,"Fall 2015",195
"Max Zuniga",2015-11-11,"Fall 2015",195
"Torben Mcclelland",2015-11-11,"Fall 2015",195
"Steve Galligan",2015-11-11,"Fall 2015",195
"Marzooq al-Fahs",2015-11-11,"Fall 2015",195
"Muhaajir al-Mirza",2015-11-11,"Fall 2015",195
"Andrew Ortiz-Gonzales",2015-11-11,"Fall 2015",195
"Taaha el-Qazi",2015-11-11,"Fall 2015",195
"Lawrence Tamayo",2015-11-11,"Fall 2015",375
"Bishr el-Hamdan",2015-11-11,"Fall 2015",260
"Arun Bruckner",2015-11-11,"Fall 2015",195
"Mori Tani",2015-11-11,"Fall 2015",130
"Saleem el-Sham",2015-11-11,"Fall 2015",65
"Kong Meng Hutchinson",2015-11-11,"Fall 2015",130
"Tayyib al-Wahab",2015-11-11,"Fall 2015",195
"Brandon Troxel",2015-11-11,"Fall 2015",130
"Aqeel al-Hossain",2015-11-11,"Fall 2015",130
"Darin Russell",2015-11-11,"Fall 2015",130
"Sahl al-Sader",2015-11-11,"Fall 2015",65
"Benjamin Babatunde",2015-11-12,"Fall 2015",40
"Joo Garand",2015-11-12,"Fall 2015",80
"Aiden Jaeger",2015-11-12,"Fall 2015",80
"Tony Cha",2015-11-12,"Fall 2015",40
"Kevin Querubin",2015-11-12,"Fall 2015",40
"Kordell Thompson",2015-11-12,"Fall 2015",80
"Joaquin Martinez",2015-11-12,"Fall 2015",80
"Rocky Mccarty",2015-11-12,"Fall 2015",80
"Keandre Johnson",2015-11-12,"Fall 2015",40
"Scott Lucero",2015-11-12,"Fall 2015",80
"Max Zuniga",2015-11-12,"Fall 2015",40
"Torben Mcclelland",2015-11-12,"Fall 2015",80
"Steve Galligan",2015-11-12,"Fall 2015",80
"Marzooq al-Fahs",2015-11-12,"Fall 2015",80
"Muhaajir al-Mirza",2015-11-12,"Fall 2015",80
"Andrew Ortiz-Gonzales",2015-11-12,"Fall 2015",80
"Taaha el-Qazi",2015-11-12,"Fall 2015",80
"Lawrence Tamayo",2015-11-12,"Fall 2015",120
"Bishr el-Hamdan",2015-11-12,"Fall 2015",40
"Arun Bruckner",2015-11-12,"Fall 2015",40
"Mori Tani",2015-11-12,"Fall 2015",40
"Saleem el-Sham",2015-11-12,"Fall 2015",80
"Kong Meng Hutchinson",2015-11-12,"Fall 2015",80
"Tayyib al-Wahab",2015-11-12,"Fall 2015",40
"Brandon Troxel",2015-11-12,"Fall 2015",40
"Aqeel al-Hossain",2015-11-12,"Fall 2015",80
"Darin Russell",2015-11-12,"Fall 2015",40
"Sahl al-Sader",2015-11-12,"Fall 2015",40
"Tony Cha",2015-11-13,"Fall 2015",1155
"Joaquin Martinez",2015-11-13,"Fall 2015",1320
"Keandre Johnson",2015-11-13,"Fall 2015",330
"Max Zuniga",2015-11-13,"Fall 2015",1650
"Torben Mcclelland",2015-11-13,"Fall 2015",1650
"Steve Galligan",2015-11-13,"Fall 2015",1155
"Muhaajir al-Mirza",2015-11-13,"Fall 2015",1320
"Taaha el-Qazi",2015-11-13,"Fall 2015",1320
"Lawrence Tamayo",2015-11-13,"Fall 2015",875
"Kong Meng Hutchinson",2015-11-13,"Fall 2015",1155
"Brandon Troxel",2015-11-13,"Fall 2015",1320
"Aqeel al-Hossain",2015-11-13,"Fall 2015",1485
"Darin Russell",2015-11-13,"Fall 2015",1485
"Sahl al-Sader",2015-11-13,"Fall 2015",495
"Tony Cha",2015-11-14,"Fall 2015",0
"Joaquin Martinez",2015-11-14,"Fall 2015",0
"Max Zuniga",2015-11-14,"Fall 2015",0
"Torben Mcclelland",2015-11-14,"Fall 2015",0
"Steve Galligan",2015-11-14,"Fall 2015",0
"Muhaajir al-Mirza",2015-11-14,"Fall 2015",0
"Taaha el-Qazi",2015-11-14,"Fall 2015",0
"Lawrence Tamayo",2015-11-14,"Fall 2015",0
"Kong Meng Hutchinson",2015-11-14,"Fall 2015",0
"Brandon Troxel",2015-11-14,"Fall 2015",0
"Aqeel al-Hossain",2015-11-14,"Fall 2015",0
"Darin Russell",2015-11-14,"Fall 2015",0
"Sahl al-Sader",2015-11-14,"Fall 2015",0
"Tony Cha",2015-11-15,"Fall 2015",675
"Joaquin Martinez",2015-11-15,"Fall 2015",1350
"Max Zuniga",2015-11-15,"Fall 2015",810
"Torben Mcclelland",2015-11-15,"Fall 2015",945
"Steve Galligan",2015-11-15,"Fall 2015",1080
"Muhaajir al-Mirza",2015-11-15,"Fall 2015",810
"Taaha el-Qazi",2015-11-15,"Fall 2015",945
"Lawrence Tamayo",2015-11-15,"Fall 2015",540
"Kong Meng Hutchinson",2015-11-15,"Fall 2015",945
"Brandon Troxel",2015-11-15,"Fall 2015",945
"Aqeel al-Hossain",2015-11-15,"Fall 2015",1215
"Darin Russell",2015-11-15,"Fall 2015",810
"Sahl al-Sader",2015-11-15,"Fall 2015",675
